"Date","Total Returns Index"
"30 Jun 2023","28059.65"
"28 Jun 2023","27739.64"
"27 Jun 2023","27513.45"
"26 Jun 2023","27328.91"
"23 Jun 2023","27291.39"
"22 Jun 2023","27445.97"
"21 Jun 2023","27571.14"
"20 Jun 2023","27512.41"
"19 Jun 2023","27422.87"
"16 Jun 2023","27519.44"
"15 Jun 2023","27317.25"
"14 Jun 2023","27408.12"
"13 Jun 2023","27350.09"
"12 Jun 2023","27182.55"
"09 Jun 2023","27126.86"
"08 Jun 2023","27227.59"
"07 Jun 2023","27361.85"
"06 Jun 2023","27175.70"
"05 Jun 2023","27168.13"
"02 Jun 2023","27080.87"
"01 Jun 2023","26989.35"
"31 May 2023","27057.44"
"30 May 2023","27188.18"
"29 May 2023","27136.82"
"26 May 2023","26991.87"
"25 May 2023","26731.86"
"24 May 2023","26679.72"
"23 May 2023","26771.10"
"22 May 2023","26722.03"
"19 May 2023","26560.10"
"18 May 2023","26451.26"
"17 May 2023","26526.82"
"16 May 2023","26679.67"
"15 May 2023","26789.02"
"12 May 2023","26666.67"
"11 May 2023","26640.77"
"10 May 2023","26667.11"
"09 May 2023","26595.52"
"08 May 2023","26593.29"
"05 May 2023","26308.78"
"04 May 2023","26580.77"
"03 May 2023","26339.14"
"02 May 2023","26423.30"
"28 Apr 2023","26302.92"
"27 Apr 2023","26078.38"
"26 Apr 2023","25930.70"
"25 Apr 2023","25866.09"
"24 Apr 2023","25828.46"
"21 Apr 2023","25654.78"
"20 Apr 2023","25654.16"
"19 Apr 2023","25645.82"
"18 Apr 2023","25706.09"
"17 Apr 2023","25774.07"
"13 Apr 2023","25950.39"
"12 Apr 2023","25924.89"
"11 Apr 2023","25793.77"
"10 Apr 2023","25650.73"
"06 Apr 2023","25614.55"
"05 Apr 2023","25553.28"
"03 Apr 2023","25321.85"
"31 Mar 2023","25266.06"
"29 Mar 2023","24859.93"
"28 Mar 2023","24672.17"
"27 Mar 2023","24721.71"
"24 Mar 2023","24662.53"
"23 Mar 2023","24854.39"
"22 Mar 2023","24963.55"
"21 Mar 2023","24898.97"
"20 Mar 2023","24725.60"
"17 Mar 2023","24888.10"
"16 Mar 2023","24721.52"
"15 Mar 2023","24701.60"
"14 Mar 2023","24805.11"
"13 Mar 2023","24966.68"
"10 Mar 2023","25343.09"
"09 Mar 2023","25600.24"
"08 Mar 2023","25840.12"
"06 Mar 2023","25777.60"
"03 Mar 2023","25607.14"
"02 Mar 2023","25210.65"
"01 Mar 2023","25398.40"
"28 Feb 2023","25184.47"
"27 Feb 2023","25313.70"
"24 Feb 2023","25420.07"
"23 Feb 2023","25485.97"
"22 Feb 2023","25548.67"
"21 Feb 2023","25945.08"
"20 Feb 2023","25971.19"
"17 Feb 2023","26116.12"
"16 Feb 2023","26249.52"
"15 Feb 2023","26220.43"
"14 Feb 2023","26077.93"
"13 Feb 2023","25846.70"
"10 Feb 2023","25971.23"
"09 Feb 2023","26024.94"
"08 Feb 2023","25993.34"
"07 Feb 2023","25772.19"
"06 Feb 2023","25834.87"
"03 Feb 2023","25965.00"
"02 Feb 2023","25610.65"
"01 Feb 2023","25619.24"
"31 Jan 2023","25685.94"
"30 Jan 2023","25666.69"
"27 Jan 2023","25601.88"
"25 Jan 2023","26020.13"
"24 Jan 2023","26349.28"
"23 Jan 2023","26349.14"
"20 Jan 2023","26216.94"
"19 Jan 2023","26333.57"
"18 Jan 2023","26413.71"
"17 Jan 2023","26250.81"
"16 Jan 2023","26020.39"
"13 Jan 2023","26110.20"
"12 Jan 2023","25967.07"
"11 Jan 2023","26021.60"
"10 Jan 2023","26048.47"
"09 Jan 2023","26320.41"
"06 Jan 2023","25968.95"
"05 Jan 2023","26161.85"
"04 Jan 2023","26235.73"
"03 Jan 2023","26511.45"
"02 Jan 2023","26460.41"
"30 Dec 2022","26326.37"
"29 Dec 2022","26451.02"
"28 Dec 2022","26351.40"
"27 Dec 2022","26365.65"
"26 Dec 2022","26194.52"
"23 Dec 2022","25892.35"
"22 Dec 2022","26358.44"
"21 Dec 2022","26462.77"
"20 Dec 2022","26733.51"
"19 Dec 2022","26784.68"
"16 Dec 2022","26564.46"
"15 Dec 2022","26776.56"
"14 Dec 2022","27133.40"
"13 Dec 2022","27057.35"
"12 Dec 2022","26896.21"
"09 Dec 2022","26895.35"
"08 Dec 2022","27059.31"
"07 Dec 2022","26988.31"
"06 Dec 2022","27107.87"
"05 Dec 2022","27192.64"
"02 Dec 2022","27185.44"
"01 Dec 2022","27354.74"
"30 Nov 2022","27276.01"
"29 Nov 2022","27071.98"
"28 Nov 2022","26991.60"
"25 Nov 2022","26918.89"
"24 Nov 2022","26877.24"
"23 Nov 2022","26561.89"
"22 Nov 2022","26528.40"
"21 Nov 2022","26405.90"
"18 Nov 2022","26620.61"
"17 Nov 2022","26673.32"
"16 Nov 2022","26768.95"
"15 Nov 2022","26759.85"
"14 Nov 2022","26651.93"
"11 Nov 2022","26681.76"
"10 Nov 2022","26214.31"
"09 Nov 2022","26401.58"
"07 Nov 2022","26464.44"
"04 Nov 2022","26339.90"
"03 Nov 2022","26246.23"
"02 Nov 2022","26290.01"
"01 Nov 2022","26380.97"
"31 Oct 2022","26182.36"
"28 Oct 2022","25852.72"
"27 Oct 2022","25780.23"
"25 Oct 2022","25643.34"
"24 Oct 2022","25751.45"
"21 Oct 2022","25527.09"
"20 Oct 2022","25509.14"
"19 Oct 2022","25434.10"
"18 Oct 2022","25393.89"
"17 Oct 2022","25139.55"
"14 Oct 2022","24953.75"
"13 Oct 2022","24704.95"
"12 Oct 2022","24863.58"
"11 Oct 2022","24660.20"
"10 Oct 2022","25034.02"
"07 Oct 2022","25140.99"
"06 Oct 2022","25165.85"
"04 Oct 2022","25082.39"
"03 Oct 2022","24520.52"
"30 Sep 2022","24821.08"
"29 Sep 2022","24419.98"
"28 Sep 2022","24478.82"
"27 Sep 2022","24694.83"
"26 Sep 2022","24707.77"
"23 Sep 2022","25159.42"
"22 Sep 2022","25598.60"
"21 Sep 2022","25727.13"
"20 Sep 2022","25869.27"
"19 Sep 2022","25587.63"
"16 Sep 2022","25454.93"
"15 Sep 2022","25958.06"
"14 Sep 2022","26141.52"
"13 Sep 2022","26237.81"
"12 Sep 2022","26043.69"
